ref;date;C14
V-00001;1963-06-22;768,4
V-00003;1963-07-04;802,4
V-00005;1963-07-18;949,4
V-00007;1963-08-01;947,4
V-00009;1963-08-15;1001,4
V-00011;1963-08-30;1012,4
V-00013;1963-09-12;997,4
V-00015;1963-09-27;970,4
V-00017;1963-10-11;969,4
V-00019;1963-10-25;938,4
V-00055;1964-07-02;883,3
V-00057;1964-07-16;976,3
V-00059;1964-07-30;922,3
F-00001;1962-12-17;422,5
F-00002;1963-01-03;407,5
F-00004;1963-01-17;422,4
F-00005;1963-01-24;433,4
F-00007;1963-02-07;440,4
F-00008;1963-02-14;451,4
F-00010;1963-02-28;460,4
F-00011;1963-03-07;467,4
F-00012;1963-03-14;478,4
F-00013;1963-03-21;478,4
F-00014;1963-03-28;532,4
F-00016;1963-04-11;547,4
F-00017;1963-04-18;528,4
F-00018;1963-04-25;582,4
F-00020;1963-05-09;650,4
F-00024;1963-06-06;716,4
F-00026;1963-06-20;759,4
F-00028;1963-07-04;767,4
F-00030;1963-07-18;929,4
F-00032;1963-08-01;951,4
F-00034;1963-08-15;1017,4
F-00036;1963-08-29;1040,4
F-00038;1963-09-12;999,4
F-00040;1963-09-26;963,4
F-00042;1963-10-10;967,4
F-00044;1963-10-24;944,4
F-00046;1963-11-07;940,4
F-00048;1963-11-21;900,4
F-00050;1963-12-05;874,4
F-00052;1963-12-19;865,4
F-00054;1964-01-02;865,4
F-00056;1964-01-16;860,3
F-00058;1964-01-30;796,3
F-00060;1964-02-13;817,3
F-00062;1964-02-27;844,3
F-00064;1964-03-12;813,3
F-00066;1964-03-26;818,3
F-00067;1964-04-09;817,3
F-00069;1964-04-23;835,3
F-00071;1964-05-07;829,3
F-00073;1964-05-21;870,3
F-00075;1964-06-04;898,3
F-00077;1964-06-18;935,3
F-00079;1964-07-01;976,3
F-00081;1964-08-15;973,3
F-00083;1964-08-29;913,3
F-00085;1964-09-11;894,3
F-00087;1964-09-25;908,3
F-00089;1964-10-09;873,3
F-00091;1964-10-23;827,3
F-00093;1964-11-06;873,3
F-00095;1964-11-20;828,3
F-00097;1964-12-04;869,3
F-00099;1964-12-18;802,3
F-00103;1965-01-15;780,2
F-00105;1965-01-29;792,2
F-00107;1965-02-12;744,2
F-00109;1965-02-26;729,2
F-00111;1965-03-12;765,2
F-00113;1965-03-26;784,2
F-00115;1965-04-09;764,2
F-00117;1965-04-23;747,2
F-00119;1965-05-07;767,2
F-00121;1965-05-20;776,2
F-00123;1965-06-04;775,2
F-00125;1965-06-18;782,2
F-00127;1965-07-03;828,2
F-00128;1965-07-09;813,2
F-00129;1965-07-16;796,2
F-00131;1965-07-28;811,2
F-00133;1965-08-09;816,2
F-00135;1965-08-23;804,2
F-00137;1965-09-06;807,2
F-00139;1965-09-20;709,2
