"SiteCode";"SampleType";"Depth";"EffectiveAge";"Value";"Uncertainty";"AnalysisNumber";"Data"
"DE08-2";"ice";81,21;1977;-7,517;0,093;600955;"d13C"
"DE08";"ice";83,89;1969;-7,221;0,063;600934;"d13C"
"DE08";"ice";84,32;1969;-7,327;0,026;601277;"d13C"
"DE08-2";"ice";84,97;1974;-7,483;0,063;600949;"d13C"
"DSS";"ice";86,06;1950;-7,006;0,064;600907;"d13C"
"DE08";"ice";86,77;1967;-7,333;0,027;601278;"d13C"
"DE08-2";"ice";89,90;1971;-7,481;0,028;601282;"d13C"
"DE08-2";"ice";91,60;1969;-7,358;0,094;950887;"d13C"
"DE08-2";"ice";92,21;1969;-7,315;0,063;950888;"d13C"
"DE08";"ice";92,65;1963;-7,055;0,191;601268;"d13C"
"DSS";"ice";92,71;1940;-6,911;0,063;950721;"d13C"
"DE08";"ice";92,92;1962;-7,091;0,063;600918;"d13C"
"DSS";"ice";94,00;1938;-6,965;0,063;600905;"d13C"
"DE08-2";"ice";96,36;1966;-7,326;0,027;601281;"d13C"
"DE08";"ice";99,70;1957;-7,107;0,014;601243;"d13C"
"DSS";"ice";99,71;1929;-6,895;0,063;950742;"d13C"
"DE08";"ice";99,90;1957;-7,087;0,014;601242;"d13C"
"DSS";"ice";114,30;1906;-6,814;0,094;950685;"d13C"
"DE08";"ice";119,92;1941;-6,999;0,019;601251;"d13C"
"DE08-2";"ice";120,18;1947;-7,013;0,062;600953;"d13C"
"DE08-2";"ice";121,55;1946;-6,983;0,108;601045;"d13C"
"DE08-2";"ice";121,73;1945;-7,033;0,108;601048;"d13C"
"DE08";"ice";121,80;1939;-6,990;0,062;600941;"d13C"
"DE08";"ice";122,10;1939;-6,998;0,019;601250;"d13C"
"DE08";"ice";124,65;1937;-6,967;0,019;601245;"d13C"
"DE08";"ice";124,65;1937;-6,933;0,019;601246;"d13C"
"DE08";"ice";126,01;1936;-6,939;0,019;601247;"d13C"
"DE08";"ice";126,84;1935;-6,976;0,024;601286;"d13C"
"DE08-2";"ice";128,70;1940;-6,965;0,093;600951;"d13C"
"DE08";"ice";129,59;1933;-6,962;0,024;601285;"d13C"
"DE08";"ice";130,18;1932;-6,906;0,062;600937;"d13C"
"DE08";"ice";132,00;1931;-6,991;0,030;601274;"d13C"
"DE08";"ice";132,00;1931;-6,972;0,024;601276;"d13C"
"DE08";"ice";145,45;1920;-6,931;0,127;601261;"d13C"
"DE08-2";"ice";146,57;1925;-6,968;0,108;601117;"d13C"
"DE08";"ice";149,78;1916;-6,904;0,062;600932;"d13C"
"DE08";"ice";153,21;1913;-6,867;0,062;600938;"d13C"
"DE08";"ice";156,21;1910;-6,888;0,127;601260;"d13C"
"DE08";"ice";160,80;1905;-6,829;0,062;950886;"d13C"
"DE08";"ice";166,16;1900;-6,754;0,021;601272;"d13C"
"DE08";"ice";167,77;1899;-6,682;0,062;600929;"d13C"
"DE08";"ice";176,95;1890;-6,763;0,019;601258;"d13C"
"DSS";"ice";179,43;1799;-6,511;0,186;600893;"d13C"
"DE08";"ice";184,22;1883;-6,733;0,124;600928;"d13C"
"DE08";"ice";187,20;1880;-6,707;0,019;601257;"d13C"
